date,subsidiary,activity,contract,team,equipment_id,hours_operated,km_driven,m3_moved,revenue,fuel_cost,labor_cost,maintenance_cost,overhead_cost,downtime_hours,incident_count,near_miss_count
2025-10-23,Bécar inc.,transport_copeaux,CTR-005,Équipe C,EQ-008,11.98,148.2,63.1,794.08,167.47,454.5,42.41,105.65,0.0,0,0
2025-10-23,Bécar inc.,transport_inter_usines,CTR-006,Équipe A,EQ-011,7.34,200.5,128.2,1086.02,156.97,367.28,77.47,46.07,0.3,0,0
2025-10-23,Bécar inc.,transport_inter_usines,CTR-005,Équipe A,EQ-001,7.0,208.3,110.3,1025.46,255.61,383.7,58.04,39.38,0.02,0,0
2025-10-23,Bécar inc.,transport_inter_usines,CTR-002,Équipe A,EQ-003,10.83,203.2,65.9,905.58,149.16,666.36,96.89,68.72,0.0,0,0
2025-10-23,Bécar inc.,chargement,CTR-002,Équipe B,EQ-010,8.09,4.8,116.4,552.44,5.13,430.55,102.93,14.36,0.41,0,0
2025-10-23,Bécar inc.,transport_inter_usines,CTR-005,Équipe B,EQ-006,8.59,283.6,46.7,965.34,426.14,424.1,68.15,34.75,0.33,0,0
2025-10-23,Bécar inc.,transport_copeaux,CTR-005,Équipe B,EQ-004,11.14,206.3,105.7,1077.18,216.89,585.21,66.23,79.2,0.0,0,0
2025-10-23,Bécar inc.,transport_inter_usines,CTR-004,Équipe B,EQ-012,9.35,289.2,103.3,1217.74,160.6,481.19,41.72,45.32,1.81,0,0
2025-10-23,Bécar inc.,chargement,CTR-001,Équipe C,EQ-004,6.79,7.2,160.4,639.24,10.1,228.62,61.63,38.93,0.93,0,0
2025-10-23,Bécar inc.,chargement,CTR-004,Équipe A,EQ-011,5.15,11.9,132.9,516.32,17.8,244.28,54.94,37.22,0.79,0,0
2025-10-24,Bécar inc.,transport_inter_usines,CTR-003,Équipe A,EQ-004,8.69,240.0,58.5,918.42,268.33,554.87,50.41,38.16,0.76,0,0
2025-10-24,Bécar inc.,chargement,CTR-001,Équipe C,EQ-009,9.0,15.3,112.8,567.84,5.93,583.51,60.25,52.08,1.65,0,0
2025-10-24,Bécar inc.,transport_copeaux,CTR-006,Équipe B,EQ-004,8.79,211.5,91.9,991.12,130.55,294.63,72.91,43.22,0.97,0,0
2025-10-24,Bécar inc.,transport_copeaux,CTR-001,Équipe B,EQ-008,8.41,211.8,67.4,886.94,232.31,450.56,89.9,42.34,1.02,0,1
2025-10-24,Bécar inc.,transport_inter_usines,CTR-001,Équipe B,EQ-010,5.67,91.1,26.7,409.28,82.25,328.83,41.02,33.58,1.47,0,1
2025-10-24,Bécar inc.,transport_inter_usines,CTR-001,Équipe C,EQ-002,10.44,185.5,64.1,852.42,173.54,419.23,55.85,53.12,1.24,0,0
2025-10-24,Bécar inc.,transport_inter_usines,CTR-004,Équipe B,EQ-001,8.85,172.1,39.2,694.72,262.91,417.37,57.14,35.58,0.08,0,0
2025-10-24,Bécar inc.,transport_copeaux,CTR-003,Équipe A,EQ-002,7.38,91.4,111.7,780.72,94.85,449.57,68.8,40.06,0.88,0,0
2025-10-24,Bécar inc.,transport_inter_usines,CTR-006,Équipe A,EQ-012,9.94,129.3,93.3,836.58,149.55,541.84,54.88,32.21,0.0,0,1
2025-10-24,Bécar inc.,transport_inter_usines,CTR-003,Équipe A,EQ-006,6.27,200.9,74.8,854.04,212.17,335.34,63.08,32.08,1.45,0,0
2025-10-24,Bécar inc.,transport_inter_usines,CTR-002,Équipe B,EQ-012,10.58,185.5,99.5,996.54,212.32,535.74,60.19,66.34,0.0,0,0
2025-10-24,Bécar inc.,transport_inter_usines,CTR-006,Équipe C,EQ-011,7.48,207.2,77.3,899.68,317.12,279.37,52.93,19.74,0.0,0,0
2025-10-24,Bécar inc.,transport_copeaux,CTR-001,Équipe A,EQ-009,2.66,147.4,145.5,954.16,196.9,126.41,25.48,8.73,0.36,0,1
2025-10-25,Bécar inc.,transport_copeaux,CTR-002,Équipe A,EQ-006,6.76,233.9,125.7,1139.06,184.64,303.51,83.14,36.08,1.72,0,0
2025-10-25,Bécar inc.,construction_chemins,CTR-001,Équipe B,EQ-006,7.35,6.4,20.5,428.85,8.59,290.13,74.36,35.4,1.52,0,0
2025-10-25,Bécar inc.,transport_inter_usines,CTR-003,Équipe C,EQ-011,8.45,169.2,78.7,839.14,186.93,453.15,42.02,56.49,1.13,0,0
2025-10-25,Bécar inc.,construction_chemins,CTR-005,Équipe B,EQ-011,7.45,7.5,14.7,427.39,5.12,334.43,58.89,45.64,0.64,0,0
2025-10-25,Bécar inc.,transport_inter_usines,CTR-004,Équipe A,EQ-004,6.82,212.9,89.7,949.94,128.49,350.93,61.0,29.16,0.75,0,0
2025-10-25,Bécar inc.,transport_copeaux,CTR-006,Équipe B,EQ-010,3.66,110.6,77.7,620.0,82.92,211.24,52.58,14.13,0.0,0,0
2025-10-25,Bécar inc.,chargement,CTR-006,Équipe A,EQ-002,11.28,0.0,75.2,526.4,108.21,539.58,120.29,67.54,0.0,0,0
2025-10-25,Bécar inc.,transport_inter_usines,CTR-002,Équipe B,EQ-007,8.97,225.8,96.2,1043.02,115.42,505.05,43.89,53.62,0.0,0,0
2025-10-25,Bécar inc.,construction_chemins,CTR-005,Équipe C,EQ-005,8.43,8.3,39.5,511.05,8.26,440.53,75.58,39.58,0.98,0,0
2025-10-25,Bécar inc.,transport_copeaux,CTR-002,Équipe B,EQ-003,10.9,333.0,74.9,1228.4,137.68,539.73,78.81,58.21,0.0,0,0
2025-10-25,Bécar inc.,construction_chemins,CTR-006,Équipe C,EQ-006,11.69,13.0,21.6,668.87,14.45,665.42,31.76,68.64,0.29,0,0
2025-10-25,Bécar inc.,transport_inter_usines,CTR-001,Équipe B,EQ-001,8.57,127.9,89.4,793.24,209.53,423.44,24.32,47.98,0.0,0,0
2025-10-26,Bécar inc.,transport_inter_usines,CTR-004,Équipe C,EQ-004,7.06,26.1,104.6,602.9,33.21,326.8,28.31,48.56,0.88,0,0
2025-10-26,Bécar inc.,transport_copeaux,CTR-006,Équipe C,EQ-004,7.7,229.0,100.6,1044.8,378.64,368.29,52.09,37.78,1.23,0,0
2025-10-26,Bécar inc.,chargement,CTR-005,Équipe C,EQ-007,9.71,0.0,91.1,526.96,93.14,324.67,49.65,41.29,0.44,0,0
2025-10-26,Bécar inc.,transport_inter_usines,CTR-003,Équipe B,EQ-008,9.89,121.4,62.2,693.9,168.0,496.75,100.37,55.43,1.16,0,1
2025-10-26,Bécar inc.,transport_copeaux,CTR-002,Équipe A,EQ-006,9.23,158.9,59.4,753.32,179.44,563.25,9.21,31.2,0.0,0,0
2025-10-26,Bécar inc.,chargement,CTR-002,Équipe A,EQ-006,5.98,7.8,122.0,509.04,10.76,301.98,53.79,35.06,1.22,0,0
2025-10-26,Bécar inc.,transport_copeaux,CTR-003,Équipe A,EQ-003,6.16,68.4,87.5,611.36,104.56,408.91,59.99,31.22,0.0,0,0
2025-10-26,Bécar inc.,transport_copeaux,CTR-004,Équipe B,EQ-012,11.21,248.2,62.0,995.82,372.1,640.28,106.58,84.07,1.11,0,0
2025-10-27,Bécar inc.,transport_inter_usines,CTR-001,Équipe A,EQ-005,7.0,103.2,127.0,861.04,189.79,440.12,62.46,53.56,0.61,0,0
2025-10-27,Bécar inc.,transport_inter_usines,CTR-005,Équipe A,EQ-007,7.91,175.2,129.9,1047.42,265.33,412.04,70.42,45.02,0.44,0,0
2025-10-27,Bécar inc.,transport_inter_usines,CTR-006,Équipe B,EQ-006,8.92,203.5,40.3,769.46,227.71,534.89,102.0,63.9,0.63,0,0
2025-10-27,Bécar inc.,transport_inter_usines,CTR-005,Équipe B,EQ-009,9.98,172.1,53.9,773.86,179.43,536.3,74.79,47.49,0.8,0,0
2025-10-27,Bécar inc.,chargement,CTR-005,Équipe B,EQ-008,8.44,7.1,80.1,460.6,6.95,535.96,37.93,20.68,0.0,0,0
2025-10-27,Bécar inc.,transport_copeaux,CTR-001,Équipe B,EQ-009,8.71,273.7,56.8,986.12,278.89,400.46,46.43,44.73,1.74,0,1
2025-10-27,Bécar inc.,chargement,CTR-005,Équipe B,EQ-012,11.16,5.6,124.6,661.36,7.33,864.13,120.36,50.94,1.38,0,0
2025-10-27,Bécar inc.,transport_inter_usines,CTR-003,Équipe B,EQ-005,8.03,200.2,95.6,967.38,82.76,460.38,40.6,27.8,0.55,0,0
2025-10-27,Bécar inc.,transport_inter_usines,CTR-003,Équipe A,EQ-012,7.27,144.9,83.8,784.84,184.76,319.42,75.52,41.58,0.0,0,0
2025-10-27,Bécar inc.,transport_inter_usines,CTR-002,Équipe A,EQ-010,8.41,236.9,57.2,901.36,168.41,363.76,75.92,63.01,0.25,0,0
2025-10-27,Bécar inc.,transport_copeaux,CTR-006,Équipe B,EQ-005,7.26,182.3,77.2,840.54,287.08,338.26,39.42,46.05,0.0,0,0
2025-10-27,Bécar inc.,construction_chemins,CTR-001,Équipe B,EQ-003,11.71,10.6,12.2,658.69,12.65,508.1,67.63,72.84,1.04,0,0
2025-10-27,Bécar inc.,construction_chemins,CTR-006,Équipe C,EQ-007,6.27,15.2,38.6,391.17,6.62,310.09,33.96,36.39,0.14,0,0
2025-10-27,Bécar inc.,transport_copeaux,CTR-003,Équipe C,EQ-007,8.14,180.4,96.2,928.2,292.22,530.56,74.01,52.99,0.0,0,1
2025-10-28,Bécar inc.,transport_inter_usines,CTR-001,Équipe A,EQ-012,8.88,252.0,92.2,1083.04,259.14,485.62,0.0,55.05,0.0,0,0
2025-10-28,Bécar inc.,chargement,CTR-002,Équipe B,EQ-009,6.72,11.5,103.1,476.84,23.45,349.34,63.17,54.1,0.7,0,0
2025-10-28,Bécar inc.,transport_inter_usines,CTR-004,Équipe A,EQ-012,6.66,235.5,85.9,981.58,248.85,340.66,58.76,43.62,0.0,0,0
2025-10-28,Bécar inc.,transport_copeaux,CTR-002,Équipe B,EQ-008,8.8,207.8,46.7,802.36,260.98,509.39,81.8,57.84,0.0,0,0
2025-10-28,Bécar inc.,chargement,CTR-003,Équipe C,EQ-007,9.57,11.9,182.8,779.8,19.97,489.24,88.3,64.84,0.7,0,0
2025-10-28,Bécar inc.,transport_copeaux,CTR-004,Équipe B,EQ-005,7.25,218.0,85.1,950.5,283.18,415.86,50.41,49.01,0.9,0,0
2025-10-28,Bécar inc.,construction_chemins,CTR-006,Équipe C,EQ-011,6.16,12.3,22.3,365.56,12.74,350.86,56.59,37.57,0.93,0,0
2025-10-28,Bécar inc.,chargement,CTR-002,Équipe B,EQ-007,8.06,6.0,156.6,664.16,9.77,432.19,52.88,51.2,0.18,0,0
2025-10-28,Bécar inc.,transport_copeaux,CTR-002,Équipe C,EQ-012,6.28,238.4,102.5,1047.52,287.58,288.26,34.16,30.26,1.03,0,0
2025-10-28,Bécar inc.,construction_chemins,CTR-006,Équipe C,EQ-012,8.2,26.7,11.2,464.44,46.43,436.23,77.16,47.58,0.96,0,0
2025-10-29,Bécar inc.,construction_chemins,CTR-005,Équipe A,EQ-007,7.89,5.6,29.6,469.47,9.68,405.4,59.25,31.19,0.42,0,0
2025-10-29,Bécar inc.,transport_inter_usines,CTR-001,Équipe B,EQ-006,6.94,266.1,91.1,1074.74,294.8,384.9,57.73,40.19,0.27,0,0
2025-10-29,Bécar inc.,transport_inter_usines,CTR-004,Équipe B,EQ-002,6.93,180.5,104.9,941.44,223.24,323.99,82.86,55.4,1.0,0,0
2025-10-29,Bécar inc.,transport_copeaux,CTR-002,Équipe A,EQ-006,8.94,114.2,102.5,822.16,73.02,408.05,109.06,61.55,1.79,0,0
2025-10-29,Bécar inc.,chargement,CTR-001,Équipe A,EQ-004,8.14,10.5,107.4,528.64,13.69,358.9,77.59,45.83,0.0,0,1
2025-10-29,Bécar inc.,transport_copeaux,CTR-005,Équipe B,EQ-010,7.56,54.2,62.6,505.72,57.69,351.64,94.07,40.65,1.63,0,0
2025-10-29,Bécar inc.,transport_copeaux,CTR-002,Équipe C,EQ-007,11.09,40.8,35.0,429.38,38.98,577.97,114.02,70.25,0.29,0,0
2025-10-29,Bécar inc.,transport_inter_usines,CTR-005,Équipe C,EQ-012,6.99,221.9,87.8,965.2,259.0,445.85,3.26,24.45,0.0,0,0
2025-10-29,Bécar inc.,construction_chemins,CTR-001,Équipe B,EQ-001,6.45,26.7,43.0,406.35,26.87,316.64,29.24,17.82,0.51,0,0
2025-10-29,Bécar inc.,construction_chemins,CTR-003,Équipe A,EQ-007,8.66,14.5,11.8,490.46,21.74,394.88,87.49,48.57,0.0,0,0
2025-10-29,Bécar inc.,transport_inter_usines,CTR-003,Équipe C,EQ-011,10.76,240.5,78.6,1037.18,350.74,725.98,153.35,40.71,0.0,0,0
2025-10-29,Bécar inc.,transport_inter_usines,CTR-001,Équipe B,EQ-006,7.82,141.0,68.1,723.36,125.44,351.62,119.29,47.48,1.31,0,0
2025-10-30,Bécar inc.,chargement,CTR-005,Équipe C,EQ-002,4.74,0.0,78.2,351.68,181.65,244.79,57.63,29.58,1.23,0,0
2025-10-30,Bécar inc.,transport_inter_usines,CTR-001,Équipe C,EQ-006,9.01,214.0,71.3,918.18,156.23,383.17,75.64,55.1,0.0,0,0
2025-10-30,Bécar inc.,transport_inter_usines,CTR-006,Équipe C,EQ-002,6.2,281.0,71.7,1016.6,442.01,325.77,42.39,18.06,0.46,0,0
2025-10-30,Bécar inc.,transport_copeaux,CTR-006,Équipe B,EQ-005,8.54,136.5,69.3,731.22,200.36,441.45,115.81,41.86,1.4,0,0
2025-10-30,Bécar inc.,transport_copeaux,CTR-005,Équipe B,EQ-010,6.5,219.7,101.3,1005.54,307.03,417.92,82.25,32.91,0.9,0,1
2025-10-30,Bécar inc.,transport_inter_usines,CTR-002,Équipe C,EQ-012,8.65,166.9,114.8,982.08,53.83,310.42,91.79,49.44,0.8,0,0
2025-10-30,Bécar inc.,transport_inter_usines,CTR-006,Équipe A,EQ-007,7.21,156.3,31.8,600.84,198.01,423.69,23.08,33.4,0.0,0,0
2025-10-31,Bécar inc.,transport_inter_usines,CTR-001,Équipe B,EQ-002,9.36,164.9,23.0,623.26,128.49,579.04,0.0,47.77,0.0,0,0
2025-10-31,Bécar inc.,transport_inter_usines,CTR-005,Équipe A,EQ-009,11.31,167.8,94.4,950.34,98.86,695.83,65.01,54.11,0.58,0,1
2025-10-31,Bécar inc.,transport_copeaux,CTR-006,Équipe C,EQ-007,7.78,224.5,38.1,786.34,168.08,459.12,69.78,48.57,2.09,0,0
2025-10-31,Bécar inc.,construction_chemins,CTR-002,Équipe B,EQ-011,6.56,14.6,29.4,396.08,14.04,286.94,100.65,40.12,0.01,0,0
2025-10-31,Bécar inc.,transport_inter_usines,CTR-002,Équipe C,EQ-012,8.63,294.8,96.7,1190.7,300.8,413.75,59.05,45.26,0.3,0,0
2025-10-31,Bécar inc.,transport_inter_usines,CTR-006,Équipe A,EQ-010,8.68,112.4,118.2,876.32,185.58,517.99,29.44,59.62,0.92,0,0
2025-10-31,Bécar inc.,construction_chemins,CTR-002,Équipe B,EQ-007,8.52,20.8,37.3,513.36,1.08,421.4,64.84,25.53,0.68,0,0
2025-10-31,Bécar inc.,construction_chemins,CTR-004,Équipe B,EQ-009,6.79,20.9,19.6,396.97,28.14,251.44,94.68,44.33,0.45,0,0
2025-11-01,Bécar inc.,transport_inter_usines,CTR-002,Équipe A,EQ-005,7.12,145.2,102.4,857.2,183.85,407.36,57.65,45.53,0.26,0,0
2025-11-01,Bécar inc.,chargement,CTR-001,Équipe A,EQ-005,12.01,10.0,154.0,767.48,11.78,603.65,89.72,74.59,1.72,0,0
2025-11-01,Bécar inc.,transport_copeaux,CTR-001,Équipe A,EQ-010,9.18,224.7,78.2,972.38,180.97,413.6,27.67,54.9,0.53,0,0
2025-11-01,Bécar inc.,transport_copeaux,CTR-004,Équipe C,EQ-006,8.65,96.6,121.0,852.22,107.29,469.87,133.15,68.33,0.35,0,0
2025-11-01,Bécar inc.,construction_chemins,CTR-003,Équipe B,EQ-009,7.29,20.8,23.9,429.63,42.87,384.37,99.9,44.91,1.37,0,0
2025-11-01,Bécar inc.,transport_copeaux,CTR-004,Équipe B,EQ-010,5.68,98.4,49.3,515.92,47.16,300.34,66.12,31.84,0.0,0,0
2025-11-02,Bécar inc.,transport_inter_usines,CTR-001,Équipe C,EQ-012,11.07,207.0,99.1,1051.06,250.72,604.86,116.84,48.83,1.3,0,0
2025-11-02,Bécar inc.,transport_inter_usines,CTR-001,Équipe A,EQ-003,7.96,142.6,58.2,689.8,146.76,343.62,72.7,31.04,1.17,0,0
2025-11-02,Bécar inc.,transport_inter_usines,CTR-003,Équipe A,EQ-005,7.62,209.9,32.3,728.14,241.36,518.01,65.06,43.64,1.04,0,0
2025-11-02,Bécar inc.,transport_inter_usines,CTR-002,Équipe C,EQ-007,6.71,258.7,77.1,998.32,107.19,280.85,0.0,35.39,0.45,0,0
2025-11-02,Bécar inc.,transport_inter_usines,CTR-005,Équipe B,EQ-001,9.11,213.3,92.7,1004.04,330.26,388.83,131.21,38.13,1.2,0,0
2025-11-02,Bécar inc.,construction_chemins,CTR-003,Équipe C,EQ-002,9.51,13.4,24.0,551.85,22.74,476.51,24.35,42.04,1.04,0,0
2025-11-02,Bécar inc.,transport_inter_usines,CTR-004,Équipe C,EQ-012,5.52,142.3,66.8,679.62,208.71,322.77,42.33,27.8,0.71,0,0
2025-11-02,Bécar inc.,transport_inter_usines,CTR-003,Équipe A,EQ-012,5.91,189.7,103.2,936.52,104.23,308.51,43.96,36.27,0.59,0,0
2025-11-02,Bécar inc.,transport_inter_usines,CTR-004,Équipe B,EQ-007,8.62,251.4,81.2,1033.04,347.09,399.76,66.82,27.53,0.0,0,0
2025-11-02,Bécar inc.,transport_inter_usines,CTR-006,Équipe B,EQ-006,5.46,169.6,66.8,738.6,222.8,303.69,49.84,32.67,1.86,0,0
2025-11-02,Bécar inc.,transport_inter_usines,CTR-003,Équipe A,EQ-006,7.44,261.5,97.7,1100.02,324.94,373.92,51.53,45.07,0.4,0,0
2025-11-03,Bécar inc.,chargement,CTR-004,Équipe C,EQ-005,4.8,7.3,93.4,395.92,10.16,251.39,50.43,35.46,0.75,0,0
2025-11-03,Bécar inc.,transport_inter_usines,CTR-002,Équipe A,EQ-007,9.94,106.8,64.2,670.68,130.66,515.53,89.56,72.08,0.0,0,0
2025-11-03,Bécar inc.,transport_copeaux,CTR-006,Équipe A,EQ-009,3.65,218.9,47.7,738.08,259.93,186.32,43.0,19.55,0.04,0,0
2025-11-03,Bécar inc.,construction_chemins,CTR-005,Équipe C,EQ-004,7.57,2.6,28.9,451.03,1.25,439.17,64.55,69.69,0.0,0,0
2025-11-03,Bécar inc.,chargement,CTR-002,Équipe B,EQ-002,8.0,7.1,95.5,491.4,8.04,313.72,68.38,50.4,0.42,0,0
2025-11-03,Bécar inc.,transport_copeaux,CTR-003,Équipe C,EQ-012,7.49,90.0,59.4,570.42,86.18,463.09,45.89,49.32,0.17,0,0
2025-11-03,Bécar inc.,chargement,CTR-006,Équipe B,EQ-001,7.72,0.5,101.4,500.08,0.34,426.77,51.49,70.92,0.0,0,0
2025-11-03,Bécar inc.,construction_chemins,CTR-005,Équipe B,EQ-002,3.81,13.4,44.0,262.35,13.27,206.04,43.16,20.49,0.14,0,0
2025-11-04,Bécar inc.,chargement,CTR-001,Équipe C,EQ-003,6.95,3.9,141.2,589.96,2.52,419.63,26.11,32.19,2.14,0,0
2025-11-04,Bécar inc.,construction_chemins,CTR-005,Équipe A,EQ-007,8.07,11.5,24.7,473.49,12.46,326.55,52.54,56.47,0.0,0,0
2025-11-04,Bécar inc.,transport_inter_usines,CTR-005,Équipe A,EQ-006,10.66,210.4,52.2,863.56,300.39,488.26,67.39,64.98,0.21,0,0
2025-11-04,Bécar inc.,chargement,CTR-001,Équipe C,EQ-004,9.98,8.5,179.8,782.88,17.41,436.67,83.28,38.53,0.0,0,0
2025-11-04,Bécar inc.,transport_copeaux,CTR-004,Équipe B,EQ-001,5.81,230.5,62.1,860.08,520.76,281.14,48.51,21.39,1.96,0,0
2025-11-04,Bécar inc.,transport_copeaux,CTR-006,Équipe B,EQ-007,10.63,228.6,87.4,1043.86,50.11,469.13,109.22,79.13,1.49,0,0
2025-11-04,Bécar inc.,transport_inter_usines,CTR-004,Équipe A,EQ-002,7.99,196.4,77.5,885.9,87.67,394.66,56.75,43.17,0.15,0,0
2025-11-05,Bécar inc.,transport_copeaux,CTR-002,Équipe B,EQ-004,8.17,64.7,96.9,677.0,75.47,427.43,90.91,22.02,0.0,0,0
2025-11-05,Bécar inc.,transport_inter_usines,CTR-004,Équipe C,EQ-007,9.68,209.0,78.5,948.04,72.53,562.93,115.61,63.81,0.0,0,0
2025-11-05,Bécar inc.,chargement,CTR-006,Équipe C,EQ-006,7.59,9.0,122.0,554.12,6.59,419.86,75.39,43.7,0.78,0,0
2025-11-05,Bécar inc.,transport_inter_usines,CTR-003,Équipe B,EQ-004,9.58,90.2,52.2,579.68,33.75,500.67,44.36,48.36,1.13,0,0
2025-11-05,Bécar inc.,transport_inter_usines,CTR-001,Équipe A,EQ-009,8.86,138.5,80.8,787.38,217.8,488.6,33.31,58.55,0.0,0,0
2025-11-05,Bécar inc.,chargement,CTR-001,Équipe B,EQ-001,9.22,4.5,128.2,617.12,6.78,438.0,57.16,35.34,0.0,0,0
2025-11-05,Bécar inc.,transport_copeaux,CTR-002,Équipe B,EQ-010,5.07,223.5,120.6,1065.36,221.05,267.75,9.38,30.55,0.0,0,0
2025-11-06,Bécar inc.,transport_inter_usines,CTR-005,Équipe B,EQ-011,5.95,50.6,78.3,531.62,47.59,235.57,56.77,29.45,0.0,0,0
2025-11-06,Bécar inc.,chargement,CTR-004,Équipe A,EQ-001,5.91,6.1,125.2,516.04,6.0,327.91,33.61,37.76,1.04,0,0
2025-11-06,Bécar inc.,transport_copeaux,CTR-006,Équipe B,EQ-006,9.85,161.0,48.3,724.7,119.35,593.12,20.88,72.09,0.56,0,0
2025-11-06,Bécar inc.,construction_chemins,CTR-001,Équipe C,EQ-005,4.91,9.6,16.4,289.73,16.03,202.29,64.51,27.37,0.0,0,0
2025-11-06,Bécar inc.,chargement,CTR-002,Équipe A,EQ-002,5.79,0.0,106.7,460.88,50.28,266.24,30.59,25.0,2.2,0,0
2025-11-06,Bécar inc.,transport_inter_usines,CTR-001,Équipe C,EQ-011,6.16,234.5,54.9,846.38,247.47,291.44,53.21,28.73,0.38,0,0
2025-11-06,Bécar inc.,transport_inter_usines,CTR-004,Équipe A,EQ-007,7.84,154.2,104.9,899.96,165.76,388.44,66.26,64.05,0.0,0,0
2025-11-06,Bécar inc.,transport_inter_usines,CTR-003,Équipe B,EQ-003,8.31,146.4,85.8,814.86,156.45,379.87,59.99,49.22,0.0,0,0
2025-11-07,Bécar inc.,construction_chemins,CTR-006,Équipe A,EQ-012,9.74,12.5,28.9,570.38,16.06,499.35,62.98,87.14,0.24,0,0
2025-11-07,Bécar inc.,transport_inter_usines,CTR-001,Équipe B,EQ-010,10.02,174.3,57.2,792.62,283.93,571.19,41.82,83.07,1.13,0,0
2025-11-07,Bécar inc.,chargement,CTR-006,Équipe C,EQ-004,6.81,8.3,136.7,573.44,9.73,311.08,58.1,37.59,0.0,0,0
2025-11-07,Bécar inc.,construction_chemins,CTR-004,Équipe B,EQ-011,7.14,19.8,20.1,416.82,28.18,348.61,60.55,48.05,0.23,0,0
2025-11-07,Bécar inc.,transport_inter_usines,CTR-004,Équipe B,EQ-005,11.45,134.2,50.5,703.34,104.67,655.9,110.85,66.16,0.0,0,0
2025-11-07,Bécar inc.,transport_inter_usines,CTR-003,Équipe A,EQ-012,8.66,215.0,72.7,919.68,99.48,408.56,40.79,29.92,1.98,0,0
2025-11-07,Bécar inc.,transport_copeaux,CTR-005,Équipe B,EQ-003,7.94,211.8,80.1,929.28,218.92,323.51,15.44,41.55,0.65,0,0
2025-11-07,Bécar inc.,transport_inter_usines,CTR-004,Équipe B,EQ-012,6.35,204.4,94.7,942.78,146.76,338.25,71.88,43.12,0.52,0,0
2025-11-07,Bécar inc.,construction_chemins,CTR-001,Équipe C,EQ-010,8.24,16.9,25.9,484.28,24.87,485.88,46.23,24.0,1.83,0,0
2025-11-07,Bécar inc.,transport_copeaux,CTR-006,Équipe A,EQ-002,7.5,149.3,120.0,943.46,113.38,342.11,65.89,46.58,1.0,0,0
2025-11-08,Bécar inc.,transport_copeaux,CTR-003,Équipe C,EQ-001,8.19,192.9,104.3,989.0,266.7,428.78,45.84,46.9,0.58,0,0
